A1 Electrical Services,4/ 160 Lysaght St,Mitchell,ACT,2911,(02) 6242 0654,,,-35.21441, 149.13828
A.C.T. Electrics Pty Ltd,,,,,(02) 6298 3808,,,-35.3892959, 149.1694219
A &amp; K Electrical,39 Springbett St,Kambah,ACT,2902,0414 314 008,,,-35.391247, 149.061085
Approved Electrical &amp; Communications Pty Ltd,,,,,0418 620 959,,,-35.4158638, 149.0897893
ABH Electrical,,,,,0400 000 618,,,-35.4504201, 149.0839286
Able Electrics,9 Jones Pl,Weetangera,ACT,2614,0418 627 912,,ableelectricsact@gmail.com,-35.252975, 149.047931
Abstract Electrics,,,,,0438 654 843,,,-35.3154129, 149.1441678
AC Electrical Canberra,,,,,0433 571 540,,Alex.acelectricalcanberra@gmail.com,-35.4124422, 149.1280361
ACT Electrcial,,,,,0417 752 345,,,-35.4158638, 149.0897893
ACT Electrical &amp; Home Maintenance,,,,,0413 109 525,,actehm@gmail.com,
ActewAGL Home Services,,,,,13 1766,,,
ACTive Power and Communications,,,,,0404 934 631,,,-35.32520991, 149.13627461
ACT Smart Electrical &amp; Solar,16 Spofforth St,Holt,ACT,2615,0401 428 522,,info@actsmartelectrical.com.au,-35.22777, 149.007225
Adam Trankulov Electrical,,,,,0431 316 343,,,-35.3391813, 149.0759964
A &amp; K ELECTRICAL (AUST) PTY LTD,,,,,(02) 6231 6601,,,-35.3281938, 149.1770535
Alex Weir Electrical Services,,,,,0408 482 002,,,-35.1907945, 149.0837529
Allstar Electrical Services,155 Temperley St,Nicholls,ACT,2913,0418 624 632,,,-35.190863, 149.099143
All Tradez Electrical,,,,,0403 643 500,,guy@alltradez.com.au,-35.28078181, 149.13139599
Ampage Electrical Services,11 Buckley Cct,Kambah,ACT,2902,0488 172 771,,,-35.380743, 149.050488
Andrew Forster Electrical,,,,,0403 857 321,,andrew.i.forster@gmail.com,-35.4184929, 149.0682477
Arcworks Electrical,53 Freemantle St,Stirling,ACT,2611,0423 532 077,,,-35.3524856, 149.0466855
Ardina Electrical Canberra Pty Ltd,6 Molonglo Mall,Fyshwick,ACT,2609,(02) 6162 1170,,,-35.329057, 149.176327
ASN Electrical,,,,,0417 018 899,,admin@asnelectrical.com,-35.4124422, 149.1280361
ASN Electrical Pty Ltd,,,,,(02) 6260 1906,,,-35.4356544, 149.1127341
Aussie Capital Maintenence &amp; Electrical,,,,,0432 739 740,,brockh@outlook.com,-35.4463114, 149.1195513
ACT Electrical Test &amp; Tag,,,,,0427 312 362,,,-35.4158638, 149.0897893
