BUSINESS NAME, PHONE, WEB, EMAIL, STREET, SUBURB, STATE, POSTCODE, GPS LATITUDE, GPS LONGITUDE
ACT Glass &amp; Glazing,(02) 6293 9784,,,Tuggeranong Square Shop 3 Anketel St,ACT,Greenway,2900,-35.420249, 149.070226
ACT Glass &amp; Glazing Pty Ltd,(02) 6293 9784,,,Shop 3, Tuggeranong Square,ACT,Tuggeranong,2900,-35.420249, 149.070226
Architectural Reflections,(02) 6280 9097,,,Unit 1 72 Wollongong St,ACT,Fyshwick,2609,-35.323608, 149.180217
AWG Glazing,0412 902 136,,adam_awg@hotmail.com,15 Duggan St,ACT,Calwell,2905,-35.437535, 149.098028
Bakers Glass,0488 076 663,,bakersglass@outlook.com,,,,,
BS Auto Glazier,0414 056 705,,,29 Hedditch Ct,ACT,Strathnairn,2615,-35.230877, 148.998334
Croker Glass Service,0412 695 511,,crokerglass@optusnet.com.au,,,,,-35.4201615, 149.1361555
Discount Glass,(02) 6253 1099,,email@discountglass.com.au,4 Purdue St,ACT,Belconnen,2617,-35.23903, 149.061047
Eddie Walewicz Glass Pty Ltd,(02) 6280 7136,,ewglass@bigpond.com,48 Kembla Street,ACT,Fyshwick,2609,-35.323817, 149.176141
eGlaze Australia,(02) 6280 6608,,enquire@eglazeaustralia.com.au,6 Isa St,ACT,Fyshwick,2609,-35.327574, 149.171914
Glass Tech Australia,(02) 6181 2991,,sales@glass-tech.com.au,9 Cheney Pl,ACT,Mitchell,2911,-35.212571, 149.139592
Keens Glass &amp; Glazing,0402 543 576,,keensglass2014@gmail.com,3 Casson St,ACT,Richardson,2905,-35.42229, 149.110285
Mitchell's Glass Works Pty Ltd,(02) 6280 6111,,sales@mitchellsglass.com.au,4 Geelong St,ACT,Fyshwick,2609,-35.332506, 149.167821
National Auto Glass Supplies,0418 887 028,,,2/ 15 Lyell St,ACT,Fyshwick,2609,-35.327558, 149.17332
National Capital Glass,0406 317 047,,anthony@nationalcapitalglass.com.au,,,,,-35.4463114, 149.1195513
Stiles Window Glazing &amp; Fixing,0438 281 852,,,,,,,-35.1927863, 149.0440718
Tuggeranong Glass,0418 652 729,,,4/ 75 Wollongong St,ACT,Fyshwick,2609,-35.32404, 149.1778
VALUE GLASS PTY LTD,0413 682 019,,,52 Weedon Cl,ACT,Belconnen,2617,-35.242249, 149.063614
Viridian,(02) 6203 0500,,SCNorthPerth@csr.com.au,2 Paspaley St,ACT,Hume,2620,-35.404551, 149.153505
Walewicz E,(02) 6288 4214,,,24 Eucumbene Dr,ACT,Duffy,2611,-35.34114, 149.02797
A1 Creative Glass,(02) 4225 7120,,,6 Second Ave,NSW,Unanderra,2526,-34.450561, 150.849717
A. Aarons Glass Services,(02) 9607 6566,,,200 Hoxton Park Rd,NSW,Prestons,2170,-33.92726, 150.8953
Accord Glass,0413 772 796,,,,,,,-32.0693756, 115.8194597
