BUSINESS NAME, PHONE, WEB, EMAIL, STREET, SUBURB, STATE, POSTCODE, GPS LATITUDE, GPS LONGITUDE
Ah&amp;S Cabinetry,0417 323 898,,,11 Mackrell Pl,ACT,Calwell,2905,-35.445451, 149.099752
mkz interiors,0412 268 722,,,,,,,-35.3407628, 149.1315091
Phil McDonald,0418 462 112,,philmcdonald@fastmail.com.au,13 Threlfall St,ACT,Chifley,2606,-35.355438, 149.077591
Select Custom Joinery,,,mail@selectcustomjoinery.com.au,1182 Wallaroo Rd,ACT,Hall,2618,-35.173663, 149.059241
Vibrant Kitchens,0406 234 281,,,,,,,-35.2153575, 149.1415141
A Better Display System,(02) 9971 5900,,,Unit 4/ 17 Villiers Pl,NSW,Cromer,2099,-33.73606, 151.28825
Adlard John &amp; Son,(02) 9521 2622,,,32- 34 Flora St,NSW,Kirrawee,2232,-34.03445, 151.07299
Alfred Zahra Joinery,(02) 9556 2185,,,365 West Botany St,NSW,Rockdale,2216,-33.95727, 151.14581
Arena's Woodwork Pty Ltd,0418 297 125,,,14 Woodman Pl,NSW,Abbotsbury,2176,-33.87703, 150.86378
Ace Fitouts,0401 085 400,,,,,,,-33.5186191, 150.7110046
AC Kitchens&nbsp;&nbsp;,0404 729 966,,ac.kitchens@hotmail.com,,,,,-33.9200192, 150.9241267
Action Carpentry &amp; Joinery,(02) 9905 6683,,info@actioncarpentryandjoinery.com.au,,,,,-33.7623885, 151.2712749
A.J. CUSTOM,0432 640 803,,ajcustom2021@gmail.com,1413 George Booth Dr,NSW,Buchanan,2323,-32.847672, 151.522166
Alamo Kitchens,(02) 9601 5897,,,163 Newbridge Rd,NSW,Moorebank,2170,-33.928658, 150.962699
ALCOP ALUMINIUM AND WOODWORK,0435 465 417,,alcopaluminium@gmail.com,,,,,-34.0848661, 150.8121725
Allfitz Kitchens,0413 702 427,,,,,,,-33.1079542, 151.488845
ANDIOLI GROUP PTY LTD,0416 685 666,,,,,,,-33.67779457, 150.94430243
Andrew's Cabinets &amp; Joinery,(02) 4759 2291,,,50 Christabel St,NSW,Lawson,2783,-33.723148, 150.437374
Arkade Interiors Pty Ltd,(02) 9679 2420,,kim@arkadeinteriors.com.au,Unit 26/322 Annangrove Road,NSW,Rouse Hill,2155,-33.666167, 150.91964
Artes Decor,0419 629 008,,,50 Ladera Dr,NSW,Copacabana,2251,-33.48745, 151.426219
Attard's Cabinetry Pty Ltd,(02) 9838 8608,,alison@attards.com.au,7 Bonz Pl,NSW,Seven Hills,2147,-33.773138, 150.955199
Action Carpentry &amp; Joinery Services,(02) 9878 6683,,info@actioncarpentryandjoinery.com.au,,,,,-33.7623885, 151.2712749
Alex Bulyk Joinery,0415 789 432,,,45 Warrigal Rd,NSW,Kurrajong,2758,-33.48164, 150.72643
Anthony Connor Cabinet Making &amp; Joinery,0467 372 717,,amconnor11@telstra.com,,,,,-33.4880483, 149.5469738
AWL Cabinetry,0450 762 171,,,,,,,-33.7493738, 150.9158006
Ballina Kitchen Wizards,0412 765 960,,,,,,,
Best Built In Wardrobes,0420 251 211,,bestbuiltinwardrobes@hotmail.com,163 Hector St,NSW,Sefton,2162,-33.889381, 151.005978
BOUSTEAD BROWN ENTERPRISES,0406 485 286,,kevin@bousteadandbrown.com.au,Unit 5 17 King Rd,NSW,Hornsby,2077,-33.698032, 151.10966
Buda C &amp; M Pty Ltd,(02) 9150 6138,,,165 Kingsgrove Rd,NSW,Kingsgrove,2208,-33.935359, 151.099453
Ballina Pre-Cut Board &amp; Kitchens,(02) 6686 8979,,,3/ 9 De Havilland Crst,NSW,Ballina,2478,-28.845326, 153.553232
Bellwood Kitchens,(02) 9756 6047,,contactus@bellwoodkitchens.com.au,Unit 28/ 93-97 Newton Rd,NSW,Wetherill Park,2164,-33.84845, 150.89228
BM CABINETRY,0427 281 253,,,1184 Spring Grove Rd,NSW,Spring Grove,2470,-28.839864, 153.094068
Border Rangers Cabinets,(02) 6636 4323,,,936 Roseberry Creek Rd,NSW,Kyogle,2474,-28.461832, 152.808545
Brescia Kitchens Pty Ltd,(02) 9725 1686,,bresciakitchens@gmail.com,229 Cowpasture Rd,NSW,Wetherill Park,2164,-33.84814, 150.87795
Bruce Smith Cabinets,(02) 6672 3532,,info@brucesmithcabinets.com.au,38 Kyogle Rd,NSW,Murwillumbah,2484,-28.340674, 153.375463
Built to Desire Kitchens &amp; Cabinetry,0405 010 391,,builttodesire@yahoo.com,,,,,-34.0321302, 150.7302739
Beny's Kitchens,(02) 4283 6000,,,32 Kingsford St,NSW,Fairy Meadow,2519,-34.388777, 150.895601
Boree Cabinets,0427 535 567,,,20 Massey Ave,NSW,Leeton,2705,-34.54763, 146.39152
B &amp; S Kitchens,(02) 6642 3064,,made@bandskitchens.com.au,32 Hyde Street (off Armidale Rd),NSW,South Grafton,2460,-29.726892, 152.940855
Bulmers Cabinet Makers,(03) 5881 1700,,,483 Saleyards Rd,NSW,Deniliquin,2710,-35.547127, 144.948587
Cabinet Concepts,(02) 4739 8651,,cabinet.concepts@hotmail.com,Unit 1 11 Attunga Rd,NSW,Blaxland,2774,-33.73734, 150.60932
Castlereagh Cabinets,(02) 6848 5885,,castlereaghcabinets@gmail.com,255 Bardens Rd,NSW,Curban,2827,-31.532203, 148.521189
Coastwide Kitchens and Cabinetry,0420 779 128,,n.cafaro14@gmail.com,,,,,-34.0364575, 151.0847863
Cring Design Pty Ltd,(02) 9634 7269,,,,,,,-33.72510369, 151.00187631
Cabinetry Excellence,0416 293 666,,,,,,,-33.7615158, 150.9309433
Cabinet Solutions Plus Pty Ltd,(02) 9792 8338,,,U 2/ 17 Sheridan Cl,NSW,Milperra,2214,-33.932244, 150.995416
Cabworx,(02) 6040 5007,,,909 Metry St,NSW,North Albury,2640,-36.065386, 146.944961
Caldera Kitchens and Bathrooms,0499 003 809,,calderakitchens2019@gmail.com,,,,,-28.4252853, 153.3810014
Canaus Design Pty Ltd,(02) 8798 1343,,,,,,,-33.9984845, 150.8660859
Captive Cabinet Making,(02) 9905 4468,,andrew@captivecabinetmaking.com.au,2/10 Wattle Rd,NSW,Brookvale,2100,-33.768, 151.27793
CB Joinery P/L,0401 660 290,,,,,,,-34.0855912, 150.8019225
Central Coast Laminate,(02) 4332 3203,,,Rear 384 The Entrance Rd,NSW,Long Jetty,2261,-33.36276, 151.48071
Chave Phillip Cabinets,(02) 6686 4656,,,Unit 2 44 Dehavilland Dr,NSW,Ballina,2478,-28.848297, 153.55592
Christo Kubler,0431 986 623,,christo.kubler@gmail.com,,,,,-32.7512547, 151.5895846
City Custom Cabinets,0403 282 740,,citycustomcabinets@gmail.com,5 10-12 Hearne St,NSW,Mortdale,2223,-33.964789, 151.067173
Claremont Joinery,(02) 9790 2344,,,6 Fortril Ave,NSW,Bankstown,2200,-33.9338, 151.036017
Compass Cabinets &amp; Maintenance,(02) 4353 9398,,,,,,,-33.2920124, 151.4687098
Constantain Kitchens,(02) 9740 7147,,,714 Cnr Nelson Avenue and Canterbury Road,NSW,Belmore,2192,-33.92409, 151.09187
Coral Design Kitchens,(02) 9793 1628,,,D 4/11- 15 Moxon Rd,NSW,Punchbowl,2196,-33.93419, 151.04183
Crafty Kabinets,(02) 9547 0055,,,1/ 59 Planthurst Rd,NSW,Carlton,2218,-33.978002, 151.113665
Creatick Kitchens,0449 624 741,,creatick.kitchens@hotmail.com,,,,,-33.8541009, 150.9865844
Creative Cabinetry,0418 965 289,,davidf@creative-cabinetry.com.au,,,,,-33.7623885, 151.2712749
Cummins Joinery (Sales) Pty Ltd,(02) 9533 1066,,,1 Lorraine St,NSW,Peakhurst,2210,-33.963769, 151.061047
Custom Display Solutions.,0425 841 263,,info@customdisplaysolutions.com.au,1/ 7 Carrington Rd,NSW,Castle Hill,2154,-33.728161, 150.984168
Customizer Kitchens,(02) 9790 4696,,,45 Birch St,NSW,Condell Park,2200,-33.917936, 150.998326
Cutting Edge Kitchens &amp; Cabinet making,(02) 9938 6239,,kitchens@cutting.net.au,Unit 2 B 130 Old Pittwater Rd,NSW,Brookvale,2100,-33.76732, 151.26028
Carls Kitchens,1300 740 558,,info@carlskitchens.com.au,Unit 4 9 Bradfield St,NSW,Leumeah,2560,-34.057519, 150.837724
Coastline Kitchens,(08) 9550 1800,,,4 Smeaton Way, WA,Rockingha,6168,-32.272018, 115.752306
Creative Carpentry,0418 965 289,,,,,,,-33.7839076, 151.2672573
Cyrus Cabinets,0466 999 772,,,264 Marsden Rd,NSW,Carlingford,2118,-33.788486, 151.061818
Dana Kitchens,0417 661 777,,,521 Sullivans Rd,NSW,Yamba,2464,-29.447162, 153.341554
Design Affair,(02) 9630 6102,,,3 Richard Cl,NSW,North Rocks,2151,-33.773129, 151.006974
DK Construction Interiors,0424 635 544,,dkcinteriors@gmail.com,Shop 2/ 474 Forest Rd,NSW,Bexley,2207,-33.951601, 151.125236
Drams Design Pty Ltd,(02) 9822 2551,,,Unit 4/ 17 Regent Crst,NSW,Moorebank,2170,-33.9353116, 150.93940285
Dave Cowan Cabinetry Pty Ltd,0410 790 720,,dave@dccabinetry.com.au,,,,,-28.8642401, 153.0456834
David Hanckel Cabinets,(02) 6025 6797,,reception@dhcabinets.com.au,898 Metry St,NSW,Albury North,2640,-36.06412, 146.947061
Design Building Services,(02) 4571 2333,,,Unit 3/ 34 Elizabeth St,NSW,North Richmond,2754,-33.57851, 150.71448
Designer Image Robes,(02) 9542 2444,,,Unit 38/ 398 The Boulevarde,NSW,Kirrawee,2232,-34.027459, 151.079258
D &amp; L Furness Pty Ltd,0407 932 160,,,Unit 5 / 11 Priestley St,NSW,Mittagong,2575,-34.450604, 150.434901
DMT Cabinetmaking &amp; Joinery,0448 027 363,,,102 Miller St,NSW,Pyrmont,2009,-33.869764, 151.192151
Dreamland Kitchens,(02) 9892 3411,,,187 Military Rd,NSW,Guildford,2161,-33.860937, 150.976915
Dr Phill's Kitchens &amp; Cabinetry,(02) 9652 1055,,phill@drphill.com.au,,,,,-33.6016181, 151.007894
Davis JR &amp; AL,0416 259 045,,,1/1 Dumaresq St,NSW,West Wyalong,2671,-33.91309, 147.20308
DIY Kitchen (Rattans),0493 409 130,,,51-53 Fitzpatrick St,NSW,Revesby,2212,-33.938594, 151.003418
Drams Design,(02) 9785 9443,,info@drams.com.au,Unit 4/ 32 Seton Rd,NSW,Moorebank,2170,-33.935086, 150.938996
D &amp; S Tancred Kitchens,(02) 6889 4111,,,5 Macquarie Dr,NSW,Narromine,2821,-32.238152, 148.256041
Eadie Cabinet Making,0409 601 052,,eadies@hotmail.com,4-3 Willis Rd,NSW,Woolgoolga,2456,-30.12428, 153.19361
ELBALQA JOINERY,0420 555 284,,Bassam@elbalqajoinery.com.au,,,,,
Evans Head Cabinetmaking,0428 262 516,,justin.t.crisp@gmail.com,15 Canberra Rd,NSW,Evans Head,2473,-29.105246, 153.424918
Expert Interiors &amp; Fitouts,0422 987 805,,,,,,,-33.9560787, 150.9552762
Furness Cabinet Making PTY LTD,0414 628 345,,,Unit 5 / 11 Priestley St,NSW,Mittagong,2575,-34.450604, 150.434901
Gabriel Rancan,(02) 9649 4707,,gabriel@rancan.com.au,23 East St,NSW,Lidcombe,2141,-33.86649, 151.04728
Geoff England Custom Cabinets Pty Ltd,(02) 9940 0316,,,,,,,-33.67440769, 151.30090368
G &amp; K Cabinets,(03) 9725 2274,,,Factory 4/ 18 Jesmond Rd,VIC,Croydon,3136,-37.80591, 145.28236
Global Kitchens,(02) 9529 2154,,,16 Dillon St,NSW,Ramsgate,2217,-33.983626, 151.138182
G &amp; A Cabinets,(02) 6652 8836,,,14 O'Keefe Dr,NSW,Coffs Harbour,2450,-30.31683, 153.09975
George's Kitchens,(02) 9519 1167,,info@georgeskitchens.com.au,4 Chapel St,NSW,Marrickville,2204,-33.908615, 151.166328
Glenn Russell Cabinetry,0429 669 044,,,123 Gunnedah Rd,NSW,Taminda,2340,-31.097527, 150.894317
Glory Interiors Pty Ltd,(02) 9750 7563,,,37 Hugh St,NSW,Belmore,2192,-33.90912, 151.07833
Hindmarsh David Kitchens &amp; Joinery,(02) 6925 5525,,wkwc@bigpond.com,14 Cheshire St,NSW,Wagga Wagga,2650,-35.124844, 147.346477
Illawarra Kitchens,(02) 4272 3345,,,16 Glastonbury Ave,NSW,Unanderra,2526,-34.45787, 150.85616
Instyle Kitchen &amp; Bathroom Renovation,(02) 9672 7288,,,Unit 9/ 70 Holbeche Rd,NSW,Arndell Park,2148,-33.7906, 150.88958
Inwood Pty Ltd (Custom Cabinets),0415 238 675,,,47/ 5 Ponderosa Parade,NSW,Warriewood,2102,-33.679091, 151.289293
I Space Solutions,0419 969 777,,javier@ispacesolutions.com.au,,,,,
Infinity Kitchens &amp; Joinery,0451 515 460,,info@infinitykitchens.com.au,12/ 61 Thurralilly St,NSW,Queanbeyan East,2620,-35.343967, 149.246416
Interior Woodworks Pty Ltd,(02) 9833 8322,,,16 Severn St, St Marys Nsw 2760,NSW,St Marys,2760,-33.751033, 150.770266
INZ Kitchens,(02) 9607 5511,,sales@inzkitchens.com.au,Unit 22 314 Hoxton Park Rd,NSW,Prestons,2170,-33.92887, 150.88596
ITF Cabinet Making &amp; Joinery,(02) 9531 5511,,,17/ 4 Ethel Rd,NSW,Kirrawee,2232,-34.024827, 151.079931
Jordan Phil &amp; Lyn,(02) 4932 6356,,,36 Gillieston Rd,NSW,Maitland,2320,-32.752298, 151.533815
KAM Australia,1800 730 526,,sales@kamaustralia.com.au,,,,,-28.819991, 153.3284519
Kel's Cabinets,0419 414 024,,,Lot 26A Unit 2 Stockwell Rd,NSW,Jindera,2642,-35.972228, 146.898242
K.M.Laws Cabinetmaking of Sydney,0414 336 480,,,Boomerang Dr,NSW,Glossodia,2756,-33.528561, 150.778055
Kreative Kitchens and Joinery,(02) 4932 5807,,,,,,,-32.729312, 151.536015
Keen Furniture,(02) 6881 8801,,,134 Derribong St,NSW,Narromine,2821,-32.23529, 148.24013
Kenwood For Kitchens &amp; Bathrooms,(02) 9712 2488,,,50 Great North Rd,NSW,Five Dock,2046,-33.870683, 151.129524
Koschel G J,(03) 5883 1576,,,71 McAllister St,NSW,Finley,2713,-35.647207, 145.579716
Kelly's Cabinets &amp; Joinery,(02) 4572 1927,,vjkelly2@gmail.com,264 Cabbage Tree Rd,NSW,Grose Vale,2753,-33.604029, 150.645183
Kimberley Cabinets,0428 649 394,,,,,,,-33.705238, 151.1231054
Kreative Kitchens,0418 862 710,,kevin@kreativekitchens.com.au,,,,,-33.7990378, 150.9266116
Lambruk Joiners &amp; Cabinetmakers,(02) 6684 1066,,sales@lambruk.com.au,,,,,
Madison Turner Pty Ltd,(02) 9666 4800,,,8 Rochester St,NSW,Botany,2019,-33.949846, 151.198553
Master Kitchens &amp; Joinery,(02) 6057 4738,,sales@mkaj.com.au,,,,,
Mister Ply &amp; Wood,1300 138 771,,blacktown@misterplywood.com.au,,,,,
Morrissey Cabinets,(02) 6621 6324,,morrisseycabinets@gmail.com,109 Wilson St,NSW,South Lismore,2480,-28.811076, 153.260213
Marfe Joinery,(02) 6297 1215,,marfejoinery@gmail.com,28 Hincksman St,NSW,Queanbeyan East,2620,-35.34051, 149.24017
Mark's Cabinet Making,(02) 9666 7333,,info@markscabinetmaking.com.au,124 Wentworth Ave,NSW,Pagewood,2035,-33.942512, 151.217113
Marnix Spaans Quality European Joinery,0428 035 325,,info@marnixspaans.com.au,2/ 17A Lyell St,NSW,Mittagong,2575,-34.448948, 150.431607
MASHALANI PTY LTD,0450 964 260,,info@mashalani.com.au,,,,,-33.9808193, 150.9959633
McGaw's Joinery,0407 462 772,,mcgawsbc@bigpond.com,,,,,-34.7545432, 149.7178169
MCG Kitchens,(07) 5523 2968,,deb@mcgdesigns.com.au,12 Rivendell Ct,NSW,Tweed Heads South,2486,-28.20572, 153.542885
MCM kitchens and Joinery,0414 745 106,,,Unit 2 13 Geary Pl,NSW,North Nowra,2541,-34.858663, 150.571674
Michael Sarno,(02) 6581 5120,,,11 Karungi Crst,NSW,Port Macquarie,2444,-31.44663, 152.88961
MK Fine Woodworking,0466 825 759,,,3 Connelly St,NSW,Penshurst,2222,-33.965159, 151.089423
Mode Kitchens,(02) 6962 7080,,,158 Wakaden St,NSW,Griffith,2680,-34.288017, 146.060074
