BUSINESS NAME, PHONE, WEB, EMAIL, STREET, SUBURB, STATE, POSTCODE, GPS LATITUDE, GPS LONGITUDE
Abasol Holdings Pty Ltd,(02) 6239 1588,,,157 Newcastle St,ACT,Fyshwick,2609,-35.326426, 149.173674
A &amp; Co Industries,0427 240 187,,adam@aandco.com.au,,,,,-35.3391813, 149.0759964
AJ's Plumbing Australia,(02) 6166 1287,,,Unit 1 45 Sheppard St,ACT,Hume,2620,-35.390302, 149.168788
Athllon Plumbing Services,0412 630 354,,athllonplumbing@gmail.com,,,,,-35.4041973, 149.0780091
Abbey Plumbing Drainage &amp; Gasfitting,0400 007 171,,,,,,,-35.3725416, 149.0862452
Abbey Plumbing, Drainage &amp; Gasfitting,0400 007 171,,,,,,,-35.3393888, 149.0526718
A.C.T Drain Cleaning and Plumbing,0415 788 850,,actdraincleaningandplumbing@gmail.com,,,,,-35.2635079, 149.121493
ACTEWAGL,1800 768 817,,,ActewAGL House 40 Bunda St,ACT,Canberra,2601,-35.277843, 149.131113
Action Plumbing Pty Ltd,0418 630 505,,office@actionplumbing.net.au,46 Wilson St,ACT,Curtin,2605,-35.334156, 149.076966
Act Now Plumbing &amp; Gasfitting Pty Ltd,,,info@actnowplumbing.com.au,,,,,-35.4124422, 149.1280361
Alliance Plumbing and Gasfitting,0401 013 914,,allianceplumbingandgasfitting@gmail.com,,,,,-35.347476, 149.0355753
A Plus Plumbing,0416 162 972,,,,,,,-33.9024566, 151.0837311
Apollo Trades &amp; Services,0449 214 014,,apollogeneralservices@gmail.com,,,,,-35.4124422, 149.1280361
Around Town Plumbing,(03) 7023 5494,,info@atplumbingmelbourne.com.au,1/ 47 Dingley Ave,VIC,Dandenong,3175,-37.99606, 145.19559
Attention Plumbing Services,0414 476 174,,,,,,,-35.4158638, 149.0897893
Aurora FM,0466 111 904,,admin@aurorafm.com.au,,,,,-35.257598, 149.043414
AusPlumb And Gas,0401 849 763,,enquiries@ausplumbandgas.com.au,,,,,-35.4740518, 149.0930961
Aussie Plumbing Services,(02) 9191 0865,,info@aussieservicesnsw.com.au,,,,,
A.B. Plumbing,(02) 6288 9015,,andrew@abplumbing.com.au,75 Jemalong St,ACT,Duffy,2611,-35.337142, 149.031125
Ajs Plumbing Australia,(02) 6260 2111,,,Unit 2/ 49 Raws Crst,ACT,Hume,2620,-35.39424, 149.16629
A Team Plumbing,0411 638 164,,,,,,,-35.4284723, 149.0908637
Australian Hot Water Canberra,1300 132 113,,,157 Newcastle St,ACT,Fyshwick,2609,-35.326426, 149.173674
Boss Plumbing,0408 161 094,,,,,,,-35.2313864, 149.0267081
Canberra Boilers,(02) 6255 0680,,service@canberraboilers.com.au,U 4b 54 Hoskins St,ACT,Mitchell,2911,-35.215692, 149.137932
Canberra Plumbing &amp; Drains,(02) 6287 7230,,,,,,,-35.3216177, 149.0558099
Cappello Commercial Hydraulics &amp; Civil Pty Ltd,(02) 6242 9420,,admin@cappello.com.au,Unit 3/ 57 Dacre St,ACT,Mitchell,2911,-35.20917, 149.137619
Craig McGregor,0411 550 939,,,,,,,-35.2901933, 149.1537592
Canberra Hot Water and Plumbing,0408 588 088,,,,,,,-35.2635079, 149.121493
Capital Gas Works Pty Ltd,0419 744 434,,officecgw@gmail.com,,,,,-35.2092521, 149.0495599
